Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T03:00:00Z,3.4,86.9,2.4,73.9,1023.1,99.2,0.0,0.0,0.0,99.2,-1.0
2016-02-24T06:00:00Z,4.5,144.0,0.7,65.8,1023.6,99.2,0.0,0.0,32.8,99.2,-1.5
2016-02-24T09:00:00Z,3.5,201.7,0.8,67.9,1024.1,96.9,0.0,0.0,11.7,96.9,-2.0
2016-02-24T12:00:00Z,1.8,221.9,1.3,77.3,1024.4,75.8,0.0,0.0,74.2,11.7,-2.0
2016-02-24T15:00:00Z,1.6,210.6,1.2,79.0,1025.0,54.7,0.0,0.0,54.7,0.0,-1.8
2016-02-24T18:00:00Z,6.9,88.2,1.3,63.2,1025.6,26.6,0.0,0.0,26.6,0.0,0.3
2016-02-24T21:00:00Z,10.2,65.5,2.0,57.6,1024.4,39.8,0.0,0.0,34.4,7.8,2.1
2016-02-25T00:00:00Z,10.0,75.8,2.4,59.3,1024.2,94.5,0.0,0.0,46.1,90.6,2.3
2016-02-25T03:00:00Z,6.3,87.9,1.5,76.2,1025.1,100.0,0.0,0.8,66.4,100.0,2.3
2016-02-25T06:00:00Z,6.6,119.2,0.5,69.2,1025.5,43.8,0.0,0.8,8.6,39.8,1.2
2016-02-25T09:00:00Z,5.1,199.0,0.7,74.7,1025.4,2.3,0.0,0.0,2.3,0.0,0.8
2016-02-25T12:00:00Z,3.6,202.2,1.0,77.9,1025.4,5.5,0.0,1.6,3.9,1.6,-0.0
2016-02-25T15:00:00Z,2.1,185.1,1.4,81.7,1025.8,1.6,0.0,0.8,0.8,0.8,-0.9
2016-02-25T18:00:00Z,8.1,76.2,1.4,67.6,1026.4,100.0,0.0,0.0,0.0,100.0,2.3
2016-02-25T21:00:00Z,10.7,72.0,2.6,61.9,1024.5,82.8,0.0,0.0,13.3,82.0,3.6
2016-02-26T00:00:00Z,11.1,81.6,3.4,62.5,1023.0,0.0,0.0,0.0,0.0,0.0,4.1
2016-02-26T03:00:00Z,5.6,93.0,1.9,83.6,1023.1,0.0,0.0,0.0,0.0,0.0,2.9
2016-02-26T06:00:00Z,7.1,139.0,0.5,73.3,1023.0,92.2,0.0,0.0,0.0,92.2,2.5
2016-02-26T09:00:00Z,4.5,210.2,1.0,83.7,1022.6,13.3,0.0,0.0,0.0,13.3,1.9
2016-02-26T12:00:00Z,2.8,216.0,1.4,87.7,1022.2,82.0,0.0,0.0,2.3,82.0,0.9
2016-02-26T18:00:00Z,8.0,93.7,0.7,77.2,1020.5,100.0,0.0,0.0,15.6,100.0,4.1
2016-02-27T00:00:00Z,11.5,72.6,1.1,66.0,1014.8,99.2,0.0,0.0,68.8,98.4,5.3
2016-02-27T06:00:00Z,8.3,269.3,3.2,83.7,1013.9,96.9,0.0,77.3,75.0,74.2,5.7
2016-02-27T12:00:00Z,7.3,230.2,5.6,79.2,1015.9,100.0,0.0,43.8,100.0,100.0,3.8
2016-02-27T18:00:00Z,9.0,260.1,6.7,64.3,1020.1,14.1,0.0,13.3,2.3,0.0,2.5
2016-02-28T00:00:00Z,9.7,293.3,4.3,66.2,1019.8,100.0,0.0,0.0,66.4,100.0,3.6
2016-02-28T06:00:00Z,6.1,204.8,1.3,82.1,1019.9,100.0,0.0,0.0,85.9,100.0,3.2
2016-02-28T12:00:00Z,5.2,166.5,1.1,76.5,1016.2,100.0,0.0,0.0,80.5,100.0,1.3
2016-02-28T18:00:00Z,7.0,215.0,1.8,76.7,1014.9,100.0,0.0,18.0,99.2,96.9,3.1
2016-02-29T00:00:00Z,6.5,284.1,3.5,88.3,1014.2,90.6,0.0,23.4,83.6,50.8,4.6
2016-02-29T06:00:00Z,3.5,244.7,3.5,82.7,1019.0,55.5,0.0,54.7,1.6,0.8,0.7
2016-02-29T12:00:00Z,3.7,255.0,5.3,74.4,1022.5,3.1,0.0,3.1,0.0,0.0,-0.6
2016-02-29T18:00:00Z,6.7,263.9,4.5,62.0,1027.5,40.6,0.0,40.6,0.0,0.0,-0.2
