Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T03:00:00Z,4.3,42.9,2.1,78.6,1023.0,96.9,0.0,0.0,0.0,96.9,0.7
2016-02-24T06:00:00Z,3.9,160.4,2.2,76.0,1023.5,100.0,0.0,0.0,0.0,100.0,-0.1
2016-02-24T09:00:00Z,3.2,191.9,2.1,78.1,1024.1,96.1,0.0,0.0,19.5,96.1,-0.4
2016-02-24T12:00:00Z,2.9,220.9,1.6,76.1,1024.5,97.7,0.0,0.0,76.6,95.3,-1.0
2016-02-24T15:00:00Z,1.7,209.0,2.0,80.9,1025.1,75.0,0.0,0.0,75.0,0.0,-1.4
2016-02-24T18:00:00Z,7.0,69.0,1.1,63.2,1025.9,18.8,0.0,0.0,15.6,3.9,0.3
2016-02-24T21:00:00Z,10.0,44.3,2.2,58.0,1024.8,32.8,0.0,0.0,8.6,25.8,2.0
2016-02-25T00:00:00Z,10.9,60.6,2.3,55.4,1024.4,92.2,0.0,0.0,47.7,83.6,2.2
2016-02-25T03:00:00Z,8.6,23.9,1.2,64.0,1024.9,92.2,0.0,0.0,40.6,92.2,2.1
2016-02-25T06:00:00Z,7.5,184.4,1.2,65.9,1025.4,86.7,0.0,0.0,13.3,83.6,1.4
2016-02-25T09:00:00Z,4.5,216.6,2.0,77.4,1025.5,4.7,0.0,0.0,3.1,1.6,0.7
2016-02-25T12:00:00Z,2.8,209.3,2.6,82.7,1025.5,0.8,0.0,0.8,0.8,0.0,0.0
2016-02-25T15:00:00Z,2.2,206.3,2.6,84.4,1026.1,2.3,0.0,0.8,2.3,0.0,-0.4
2016-02-25T18:00:00Z,8.0,33.2,1.1,69.1,1026.7,94.5,0.0,0.0,0.8,94.5,2.6
2016-02-25T21:00:00Z,10.8,45.6,2.6,62.5,1024.9,100.0,0.0,0.0,0.0,100.0,3.9
2016-02-26T00:00:00Z,11.8,58.1,3.1,59.9,1023.2,0.0,0.0,0.0,0.0,0.0,4.2
2016-02-26T03:00:00Z,7.2,55.1,2.2,78.6,1022.8,0.0,0.0,0.0,0.0,0.0,3.7
2016-02-26T06:00:00Z,6.7,140.6,1.5,77.4,1022.8,16.4,0.0,0.0,0.0,16.4,2.9
