Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T00:00:00Z,8.1,62.5,3.6,52.5,1022.7,96.1,0.0,0.0,0.0,96.1,-1.2
2016-02-24T03:00:00Z,2.4,8.8,2.4,81.0,1022.9,99.2,0.0,0.0,0.0,99.2,-0.7
2016-02-24T06:00:00Z,1.7,352.7,1.2,86.5,1023.4,98.4,0.0,0.0,0.0,98.4,-0.4
2016-02-24T09:00:00Z,1.5,353.2,0.7,87.6,1024.1,97.7,0.0,0.0,18.0,97.7,-0.5
2016-02-24T12:00:00Z,2.2,346.3,0.8,81.6,1024.4,97.7,0.0,0.0,81.2,92.2,-0.8
2016-02-24T15:00:00Z,2.7,350.6,0.7,79.1,1025.1,84.4,0.0,0.0,84.4,0.0,-0.7
2016-02-24T18:00:00Z,7.3,122.5,1.0,60.2,1025.6,35.2,0.0,0.0,35.2,0.0,-0.1
2016-02-24T21:00:00Z,10.0,96.5,1.4,54.7,1024.5,37.5,0.0,0.0,22.7,21.9,1.1
2016-02-25T00:00:00Z,9.9,109.5,2.0,57.5,1024.2,89.8,0.0,0.0,52.3,82.0,1.7
2016-02-25T03:00:00Z,6.5,36.0,1.1,72.0,1025.2,100.0,0.0,0.0,41.4,100.0,1.7
2016-02-25T06:00:00Z,3.4,5.0,1.4,84.3,1025.4,24.2,0.0,0.8,10.2,16.4,0.8
2016-02-25T09:00:00Z,2.3,13.1,1.5,82.3,1025.4,4.7,0.0,0.0,3.9,0.8,-0.5
2016-02-25T12:00:00Z,2.2,5.3,1.3,80.9,1025.3,8.6,0.0,0.8,4.7,3.9,-0.9
2016-02-25T15:00:00Z,1.7,12.2,1.3,79.8,1025.8,0.8,0.0,0.0,0.8,0.0,-1.6
2016-02-25T18:00:00Z,8.6,105.9,1.1,64.1,1026.5,99.2,0.0,0.8,0.8,99.2,2.1
2016-02-25T21:00:00Z,11.3,91.5,2.2,56.7,1024.5,84.4,0.0,0.0,5.5,82.8,2.9
2016-02-26T00:00:00Z,11.5,91.3,2.9,58.1,1023.0,0.0,0.0,0.0,0.0,0.0,3.4
2016-02-26T03:00:00Z,5.2,32.5,2.4,83.9,1023.0,0.0,0.0,0.0,0.0,0.0,2.6
2016-02-26T06:00:00Z,3.5,1.7,1.8,84.3,1022.7,65.6,0.0,0.0,0.0,65.6,1.0
2016-02-26T09:00:00Z,3.4,2.7,1.5,77.9,1022.5,97.7,0.0,0.0,0.0,97.7,-0.2
2016-02-26T12:00:00Z,4.0,348.3,0.9,74.3,1022.0,82.8,0.0,0.0,0.0,82.8,-0.3
2016-02-26T18:00:00Z,8.8,164.7,0.5,67.1,1020.6,100.0,0.0,0.0,12.5,100.0,2.9
2016-02-27T00:00:00Z,11.1,126.6,0.8,65.4,1014.9,99.2,0.0,0.8,58.6,99.2,4.8
2016-02-27T06:00:00Z,7.3,268.4,2.6,83.1,1013.1,91.4,0.0,18.0,34.4,87.5,4.6
2016-02-27T12:00:00Z,6.6,242.2,4.8,91.1,1015.1,100.0,0.0,93.8,100.0,100.0,5.2
2016-02-27T18:00:00Z,7.8,260.4,7.3,75.5,1019.3,28.9,0.0,28.9,0.0,0.0,3.7
2016-02-28T00:00:00Z,9.4,276.7,5.4,62.8,1019.0,100.0,0.0,0.0,10.2,100.0,2.6
2016-02-28T06:00:00Z,5.9,238.2,1.7,80.5,1019.8,100.0,0.0,0.0,95.3,100.0,2.7
2016-02-28T12:00:00Z,4.2,5.5,1.6,85.4,1016.2,100.0,0.0,0.0,33.6,100.0,1.8
2016-02-28T18:00:00Z,6.9,263.3,1.1,79.3,1014.7,100.0,0.0,0.8,100.0,100.0,3.5
2016-02-29T00:00:00Z,6.0,265.3,5.3,88.3,1013.4,98.4,0.0,0.0,95.3,93.0,4.2
2016-02-29T06:00:00Z,3.0,258.2,5.0,86.9,1018.4,3.9,0.0,3.9,0.0,0.0,0.8
2016-02-29T12:00:00Z,2.2,255.8,3.3,93.7,1022.2,24.2,0.0,23.4,0.0,0.0,1.1
2016-02-29T18:00:00Z,5.7,260.1,5.8,71.2,1027.2,91.4,0.0,91.4,2.3,0.0,0.8
2016-03-01T00:00:00Z,8.5,245.1,2.6,53.4,1025.2,0.8,0.0,0.8,0.0,0.0,-0.6
2016-03-01T06:00:00Z,4.5,336.5,1.2,77.2,1024.5,100.0,0.0,0.0,100.0,100.0,0.7
2016-03-01T12:00:00Z,3.9,48.2,1.2,93.5,1022.3,100.0,0.0,0.0,100.0,100.0,2.8
2016-03-01T18:00:00Z,7.7,293.9,1.2,75.3,1020.3,100.0,0.0,75.8,93.0,100.0,3.5
2016-03-02T00:00:00Z,11.6,357.4,1.2,66.7,1015.7,81.2,0.0,0.0,32.8,81.2,5.6
2016-03-02T06:00:00Z,8.2,339.3,1.3,77.7,1013.7,93.8,0.0,0.0,18.8,93.8,4.4
2016-03-02T12:00:00Z,4.1,304.0,2.5,81.6,1011.4,68.0,0.0,0.0,22.7,55.5,1.1
2016-03-02T18:00:00Z,8.4,271.4,3.4,76.0,1014.4,43.0,0.0,10.9,42.2,0.0,4.3
2016-03-03T00:00:00Z,11.6,333.4,1.8,68.7,1009.9,100.0,0.0,0.0,5.5,100.0,6.0
2016-03-03T06:00:00Z,6.6,34.8,1.7,87.6,1003.9,96.1,0.0,0.0,60.9,95.3,4.6
2016-03-03T12:00:00Z,6.5,268.3,3.7,88.6,1006.3,100.0,0.0,1.6,100.0,92.2,4.7
2016-03-03T18:00:00Z,7.4,259.7,5.4,71.0,1011.4,7.0,0.0,4.7,0.8,2.3,2.4
2016-03-04T00:00:00Z,9.7,273.3,3.2,51.6,1011.3,24.2,0.0,0.0,1.6,24.2,0.1
2016-03-04T06:00:00Z,4.6,290.8,1.9,75.1,1013.1,99.2,0.0,0.0,89.8,98.4,0.4
2016-03-04T12:00:00Z,1.5,335.3,1.7,91.4,1014.5,57.8,0.0,0.8,53.9,6.2,0.1
