Timestamp,temperature(c),windDirection(deg),windSpeed(mps),humidity(pcnt),pressure(hPa),cloudiness(pcnt),fog(pcnt),lowClouds(pcnt),mediumClouds(pcnt),highClouds(pcnt),dewpointTemperature(c)
2016-02-24T00:00:00Z,9.0,85.0,4.0,48.7,1022.6,96.9,0.0,0.0,0.0,96.9,-1.4
2016-02-24T03:00:00Z,3.5,106.0,2.2,73.0,1023.0,99.2,0.0,0.0,0.0,99.2,-1.0
2016-02-24T06:00:00Z,3.8,219.5,0.9,71.8,1023.7,100.0,0.0,0.0,18.8,100.0,-1.0
2016-02-24T09:00:00Z,2.6,251.9,0.7,78.8,1024.2,96.9,0.0,0.0,14.8,96.9,-0.9
2016-02-24T12:00:00Z,2.2,247.0,0.7,78.1,1024.4,86.7,0.0,0.0,80.5,41.4,-1.4
2016-02-24T15:00:00Z,2.0,219.9,0.6,78.1,1025.1,58.6,0.0,0.0,58.6,0.0,-1.6
2016-02-24T18:00:00Z,7.4,98.9,1.4,59.6,1025.7,31.2,0.0,0.0,31.2,0.0,-0.1
2016-02-24T21:00:00Z,10.8,83.2,1.8,51.7,1024.4,43.8,0.0,0.0,36.7,10.9,1.1
2016-02-25T00:00:00Z,10.6,98.6,2.1,53.8,1024.2,92.2,0.0,0.0,48.4,86.7,1.5
2016-02-25T03:00:00Z,6.5,99.5,2.2,72.9,1025.1,99.2,0.0,0.0,52.3,99.2,1.9
2016-02-25T06:00:00Z,6.2,139.7,1.0,70.6,1025.5,21.1,0.0,0.8,9.4,13.3,1.1
2016-02-25T09:00:00Z,4.2,219.2,0.4,76.9,1025.4,3.1,0.0,0.0,3.1,0.0,0.3
2016-02-25T12:00:00Z,3.1,221.1,0.5,78.4,1025.4,10.2,0.0,0.8,3.9,6.2,-0.4
2016-02-25T15:00:00Z,2.6,189.1,0.6,79.5,1025.9,0.0,0.0,0.0,0.0,0.0,-0.8
2016-02-25T18:00:00Z,8.6,92.4,1.5,64.4,1026.5,100.0,0.0,0.0,0.0,100.0,2.2
2016-02-25T21:00:00Z,11.5,86.4,2.6,55.9,1024.5,67.2,0.0,0.0,10.9,65.6,2.9
2016-02-26T00:00:00Z,11.9,93.8,3.4,56.4,1022.9,0.0,0.0,0.0,0.0,0.0,3.4
2016-02-26T03:00:00Z,6.0,113.0,2.5,81.0,1023.0,0.0,0.0,0.0,0.0,0.0,2.9
2016-02-26T06:00:00Z,6.1,208.8,0.5,78.9,1023.0,92.2,0.0,0.0,0.0,92.2,2.6
2016-02-26T09:00:00Z,2.9,249.0,0.9,88.1,1022.7,61.7,0.0,0.0,0.0,61.7,0.9
2016-02-26T12:00:00Z,2.4,239.7,1.2,85.6,1022.2,86.7,0.0,0.0,3.1,85.9,0.1
2016-02-26T18:00:00Z,8.4,91.8,0.8,74.6,1020.6,100.0,0.0,0.0,15.6,100.0,4.0
2016-02-27T00:00:00Z,12.2,91.1,1.2,61.5,1014.8,99.2,0.0,0.8,65.6,98.4,4.9
2016-02-27T06:00:00Z,8.6,273.8,3.6,82.2,1013.6,89.1,0.0,28.9,58.6,73.4,5.6
